ampl_path,mip_model_path,mip_model,time,verbose,solver,K,B,d,N,in-file,out-file,status,obj_val
,,VRP.mod,60,1,1,2,200,{'2': '50', '3': '50', '4': '50', '5': '50', '6': '50', '7': '50', '8': '50'},8,data/petit_entrepot/solveur_size8_inst1.yaml,data/resultats/petit_entrepot/solveur_size8_inst1_sol.out,1,48.0
,,VRP.mod,60,1,1,2,200,{'2': '50', '3': '50', '4': '50', '5': '50', '6': '50', '7': '50', '8': '50'},8,data/petit_entrepot/solveur_size8_inst2.yaml,data/resultats/petit_entrepot/solveur_size8_inst2_sol.out,1,65.0
,,VRP.mod,60,1,1,2,200,{'2': '50', '3': '50', '4': '50', '5': '50', '6': '50', '7': '50', '8': '50'},8,data/petit_entrepot/solveur_size8_inst3.yaml,data/resultats/petit_entrepot/solveur_size8_inst3_sol.out,1,56.0
,,VRP.mod,60,1,1,2,200,{'2': '50', '3': '50', '4': '50', '5': '50', '6': '50', '7': '50', '8': '50'},8,data/petit_entrepot/solveur_size8_inst4.yaml,data/resultats/petit_entrepot/solveur_size8_inst4_sol.out,1,53.0
,,VRP.mod,60,1,1,2,200,{'2': '50', '3': '50', '4': '50', '5': '50', '6': '50', '7': '50', '8': '50'},8,data/petit_entrepot/solveur_size8_inst5.yaml,data/resultats/petit_entrepot/solveur_size8_inst5_sol.out,1,57.0
,,VRP.mod,60,1,2,2,200,{'2': '50', '3': '50', '4': '50', '5': '50', '6': '50', '7': '50', '8': '50'},8,data/petit_entrepot/solveur_size8_inst1.yaml,data/resultats/petit_entrepot/solveur_size8_inst1_sol.out,3,1.7976931348623157e+308
,,VRP.mod,60,1,2,2,200,{'2': '50', '3': '50', '4': '50', '5': '50', '6': '50', '7': '50', '8': '50'},8,data/petit_entrepot/solveur_size8_inst2.yaml,data/resultats/petit_entrepot/solveur_size8_inst2_sol.out,3,1.7976931348623157e+308
,,VRP.mod,60,1,2,2,200,{'2': '50', '3': '50', '4': '50', '5': '50', '6': '50', '7': '50', '8': '50'},8,data/petit_entrepot/solveur_size8_inst3.yaml,data/resultats/petit_entrepot/solveur_size8_inst3_sol.out,3,1.7976931348623157e+308
,,VRP.mod,60,1,2,2,200,{'2': '50', '3': '50', '4': '50', '5': '50', '6': '50', '7': '50', '8': '50'},8,data/petit_entrepot/solveur_size8_inst4.yaml,data/resultats/petit_entrepot/solveur_size8_inst4_sol.out,3,1.7976931348623157e+308
,,VRP.mod,60,1,2,2,200,{'2': '50', '3': '50', '4': '50', '5': '50', '6': '50', '7': '50', '8': '50'},8,data/petit_entrepot/solveur_size8_inst5.yaml,data/resultats/petit_entrepot/solveur_size8_inst5_sol.out,3,1.7976931348623157e+308
,,VRP.mod,60,1,3,2,200,{'2': '50', '3': '50', '4': '50', '5': '50', '6': '50', '7': '50', '8': '50'},8,data/petit_entrepot/solveur_size8_inst1.yaml,data/resultats/petit_entrepot/solveur_size8_inst1_sol.out,1,0
,,VRP.mod,60,1,3,2,200,{'2': '50', '3': '50', '4': '50', '5': '50', '6': '50', '7': '50', '8': '50'},8,data/petit_entrepot/solveur_size8_inst2.yaml,data/resultats/petit_entrepot/solveur_size8_inst2_sol.out,1,0
,,VRP.mod,60,1,3,2,200,{'2': '50', '3': '50', '4': '50', '5': '50', '6': '50', '7': '50', '8': '50'},8,data/petit_entrepot/solveur_size8_inst3.yaml,data/resultats/petit_entrepot/solveur_size8_inst3_sol.out,1,0
,,VRP.mod,60,1,3,2,200,{'2': '50', '3': '50', '4': '50', '5': '50', '6': '50', '7': '50', '8': '50'},8,data/petit_entrepot/solveur_size8_inst4.yaml,data/resultats/petit_entrepot/solveur_size8_inst4_sol.out,1,0
,,VRP.mod,60,1,3,2,200,{'2': '50', '3': '50', '4': '50', '5': '50', '6': '50', '7': '50', '8': '50'},8,data/petit_entrepot/solveur_size8_inst5.yaml,data/resultats/petit_entrepot/solveur_size8_inst5_sol.out,1,0
,,VRP.mod,60,1,1,4,200,{'2': '50', '3': '50', '4': '50', '5': '50', '6': '50', '7': '50', '8': '50', '9': '50', '10': '50', '11': '50', '12': '50', '13': '50', '14': '50', '15': '50', '16': '50'},16,data/gros_entrepot/solveur_size16_inst1.yaml,data/resultats/gros_entrepot/solveur_size16_inst1_sol.out,1,91.0
,,VRP.mod,60,1,1,4,200,{'2': '50', '3': '50', '4': '50', '5': '50', '6': '50', '7': '50', '8': '50', '9': '50', '10': '50', '11': '50', '12': '50', '13': '50', '14': '50', '15': '50', '16': '50'},16,data/gros_entrepot/solveur_size16_inst2.yaml,data/resultats/gros_entrepot/solveur_size16_inst2_sol.out,1,78.0
,,VRP.mod,60,1,1,4,200,{'2': '50', '3': '50', '4': '50', '5': '50', '6': '50', '7': '50', '8': '50', '9': '50', '10': '50', '11': '50', '12': '50', '13': '50', '14': '50', '15': '50', '16': '50'},16,data/gros_entrepot/solveur_size16_inst3.yaml,data/resultats/gros_entrepot/solveur_size16_inst3_sol.out,1,106.0
,,VRP.mod,60,1,1,4,200,{'2': '50', '3': '50', '4': '50', '5': '50', '6': '50', '7': '50', '8': '50', '9': '50', '10': '50', '11': '50', '12': '50', '13': '50', '14': '50', '15': '50', '16': '50'},16,data/gros_entrepot/solveur_size16_inst4.yaml,data/resultats/gros_entrepot/solveur_size16_inst4_sol.out,1,99.0
,,VRP.mod,60,1,1,4,200,{'2': '50', '3': '50', '4': '50', '5': '50', '6': '50', '7': '50', '8': '50', '9': '50', '10': '50', '11': '50', '12': '50', '13': '50', '14': '50', '15': '50', '16': '50'},16,data/gros_entrepot/solveur_size16_inst5.yaml,data/resultats/gros_entrepot/solveur_size16_inst5_sol.out,1,102.0
,,VRP.mod,60,1,2,4,200,{'2': '50', '3': '50', '4': '50', '5': '50', '6': '50', '7': '50', '8': '50', '9': '50', '10': '50', '11': '50', '12': '50', '13': '50', '14': '50', '15': '50', '16': '50'},16,data/gros_entrepot/solveur_size16_inst1.yaml,data/resultats/gros_entrepot/solveur_size16_inst1_sol.out,3,1.7976931348623157e+308
,,VRP.mod,60,1,2,4,200,{'2': '50', '3': '50', '4': '50', '5': '50', '6': '50', '7': '50', '8': '50', '9': '50', '10': '50', '11': '50', '12': '50', '13': '50', '14': '50', '15': '50', '16': '50'},16,data/gros_entrepot/solveur_size16_inst2.yaml,data/resultats/gros_entrepot/solveur_size16_inst2_sol.out,3,1.7976931348623157e+308
,,VRP.mod,60,1,2,4,200,{'2': '50', '3': '50', '4': '50', '5': '50', '6': '50', '7': '50', '8': '50', '9': '50', '10': '50', '11': '50', '12': '50', '13': '50', '14': '50', '15': '50', '16': '50'},16,data/gros_entrepot/solveur_size16_inst3.yaml,data/resultats/gros_entrepot/solveur_size16_inst3_sol.out,3,1.7976931348623157e+308
,,VRP.mod,60,1,2,4,200,{'2': '50', '3': '50', '4': '50', '5': '50', '6': '50', '7': '50', '8': '50', '9': '50', '10': '50', '11': '50', '12': '50', '13': '50', '14': '50', '15': '50', '16': '50'},16,data/gros_entrepot/solveur_size16_inst4.yaml,data/resultats/gros_entrepot/solveur_size16_inst4_sol.out,3,1.7976931348623157e+308
,,VRP.mod,60,1,2,4,200,{'2': '50', '3': '50', '4': '50', '5': '50', '6': '50', '7': '50', '8': '50', '9': '50', '10': '50', '11': '50', '12': '50', '13': '50', '14': '50', '15': '50', '16': '50'},16,data/gros_entrepot/solveur_size16_inst5.yaml,data/resultats/gros_entrepot/solveur_size16_inst5_sol.out,3,1.7976931348623157e+308
,,VRP.mod,60,1,3,4,200,{'2': '50', '3': '50', '4': '50', '5': '50', '6': '50', '7': '50', '8': '50', '9': '50', '10': '50', '11': '50', '12': '50', '13': '50', '14': '50', '15': '50', '16': '50'},16,data/gros_entrepot/solveur_size16_inst1.yaml,data/resultats/gros_entrepot/solveur_size16_inst1_sol.out,1,0
,,VRP.mod,60,1,3,4,200,{'2': '50', '3': '50', '4': '50', '5': '50', '6': '50', '7': '50', '8': '50', '9': '50', '10': '50', '11': '50', '12': '50', '13': '50', '14': '50', '15': '50', '16': '50'},16,data/gros_entrepot/solveur_size16_inst2.yaml,data/resultats/gros_entrepot/solveur_size16_inst2_sol.out,1,0
,,VRP.mod,60,1,3,4,200,{'2': '50', '3': '50', '4': '50', '5': '50', '6': '50', '7': '50', '8': '50', '9': '50', '10': '50', '11': '50', '12': '50', '13': '50', '14': '50', '15': '50', '16': '50'},16,data/gros_entrepot/solveur_size16_inst3.yaml,data/resultats/gros_entrepot/solveur_size16_inst3_sol.out,1,0
